movie_id,title,genres,rating,summary
1,Toy Story (1995),Animation|Children's|Comedy,9.5,A group of toys embarks on a thrilling adventure to save their owner.
2,Jumanji (1995),Adventure|Children's|Fantasy,8.5,A group of friends must navigate through a magical board game that brings the jungle to life.
3,Grumpier Old Men (1995),Comedy|Romance,8.5,A hilarious and heartwarming comedy about two feuding old friends who find themselves competing for the affections of a beautiful woman.
4,Waiting to Exhale (1995),Comedy|Drama,7.5,"Four African-American women navigate love, friendship, and self-discovery in their search for happiness and fulfillment."
5,Father of the Bride Part II (1995),Comedy,8.5,A father's life is turned upside down when he discovers that both his wife and daughter are pregnant at the same time.
6,Heat (1995),Action|Crime|Thriller,9.2,A relentless cat-and-mouse game unfolds between a skilled detective and a master thief in the gritty streets of Los Angeles.
7,Sabrina (1995),Comedy|Romance,8.5,"A chauffeur's daughter falls in love with two wealthy brothers, leading to a captivating romantic triangle."
8,Tom and Huck (1995),Adventure|Children's,6.5,Two mischievous boys find themselves entangled in a thrilling adventure when they witness a murder and become the prime suspects.
9,Sudden Death (1995),Action,7.5,A former firefighter must save his daughter and a hockey arena full of hostages from a terrorist plot during the Stanley Cup finals.
10,GoldenEye (1995),Action|Adventure|Thriller,8.5,A former MI6 agent must stop a rogue Russian general from using a satellite weapon to cause global chaos.
11,"American President, The (1995)",Comedy|Drama|Romance,8.5,"A widowed US President falls in love with a lobbyist, but their relationship faces challenges as they navigate the complexities of politics and personal life."
12,Dracula: Dead and Loving It (1995),Comedy|Horror,6.5,"A comedic take on the classic vampire tale, filled with hilarious moments and unforgettable characters."
13,Balto (1995),Animation|Children's,8.5,A courageous sled dog embarks on a treacherous journey to deliver medicine and save a town from a deadly epidemic.
14,Nixon (1995),Drama,8.5,"A gripping portrayal of the rise and fall of Richard Nixon, exploring the complexities of power, politics, and personal demons."
15,Cutthroat Island (1995),Action|Adventure|Romance,4.5,A fearless pirate captain and her loyal crew embark on a treacherous journey to find a hidden treasure before their ruthless rivals.
16,Casino (1995),Drama|Thriller,8.5,"A high-stakes tale of power, greed, and deception unfolds in the glamorous world of Las Vegas casinos."
17,Sense and Sensibility (1995),Drama|Romance,8.5,"A tale of love, heartbreak, and the pursuit of happiness in 19th century England."
18,Four Rooms (1995),Thriller,7.5,A bellboy's night takes a wild turn as he encounters bizarre guests in four interconnected stories.
19,Ace Ventura: When Nature Calls (1995),Comedy,7.5,A zany pet detective is called upon to solve the mysterious disappearance of a sacred white bat in Africa.
20,Money Train (1995),Action,6.5,"A pair of foster brothers, who work as transit cops, plan to rob the money train that carries millions of dollars in New York City."
21,Get Shorty (1995),Action|Comedy|Drama,8.5,A smooth-talking mobster turned Hollywood producer finds himself caught in a web of crime and comedy.
22,Copycat (1995),Crime|Drama|Thriller,8.5,A brilliant criminal psychologist teams up with a detective to catch a serial killer who is copying infamous murderers.
23,Assassins (1995),Thriller,7.5,"A professional hitman becomes the target of a younger assassin, leading to a deadly game of cat and mouse."
24,Powder (1995),Drama|Sci-Fi,8.5,A mysterious and powerful young man with supernatural abilities challenges societal norms and explores the complexities of human nature.
25,Leaving Las Vegas (1995),Drama|Romance,8.5,"A self-destructive alcoholic moves to Las Vegas to drink himself to death, but finds an unexpected connection with a prostitute."
26,Othello (1995),Drama,8.5,"A tale of jealousy, manipulation, and tragic consequences unfolds as a respected general's life unravels due to the deceitful schemes of his ensign."
27,Now and Then (1995),Drama,8.5,Four childhood friends reunite as adults and reminisce about their unforgettable summer of 1970.
28,Persuasion (1995),Romance,8.5,A woman is forced to confront her past when her former lover returns to town.
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,8.5,A dark and surreal tale set in a dystopian city where a mad scientist kidnaps children to steal their dreams.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,7.5,A young boy becomes entangled in the dangerous world of a Shanghai triad family.
31,Dangerous Minds (1995),Drama,8.5,A dedicated teacher transforms the lives of her troubled students through unconventional methods.
32,Twelve Monkeys (1995),Drama|Sci-Fi,8.5,A time traveler from a post-apocalyptic future is sent back in time to gather information about a deadly virus that has wiped out most of humanity.
33,Wings of Courage (1995),Adventure|Romance,8.5,A breathtaking tale of determination and love as a young aviator risks everything to conquer the skies.
34,Babe (1995),Children's|Comedy|Drama,8.5,A lovable piglet named Babe defies expectations and becomes a champion sheepherder.
35,Carrington (1995),Drama|Romance,8.5,A passionate love story unfolds between a talented painter and a writer in the bohemian art scene of early 20th century England.
36,Dead Man Walking (1995),Drama,8.5,"A nun becomes a spiritual advisor to a death row inmate, challenging her own beliefs and the justice system."
37,Across the Sea of Time (1995),Documentary,7.5,A young Russian boy travels through time to explore the history of New York City.
38,It Takes Two (1995),Comedy,7.5,Two identical girls from different backgrounds switch places and team up to bring their single parents together.
39,Clueless (1995),Comedy|Romance,8.5,A fashionable and popular high school student navigates the ups and downs of teenage life in Beverly Hills.
40,"Cry, the Beloved Country (1995)",Drama,8.5,A heart-wrenching tale of racial injustice and redemption in apartheid-era South Africa.
41,Richard III (1995),Drama|War,8.5,"A power-hungry and manipulative Richard III schemes his way to the throne, leaving a trail of destruction in his wake."
42,Dead Presidents (1995),Action|Crime|Drama,8.5,A Vietnam War veteran turns to a life of crime to support his family in this gritty and intense drama.
43,Restoration (1995),Drama,8.5,A brilliant physician's journey of redemption and self-discovery amidst the chaos of 17th century England.
44,Mortal Kombat (1995),Action|Adventure,7.5,A group of fighters with supernatural abilities must battle against evil forces in a high-stakes tournament.
45,To Die For (1995),Comedy|Drama,8.5,"A seductive and manipulative woman stops at nothing to achieve her dream of becoming a famous television personality, even if it means resorting to murder."
46,How to Make an American Quilt (1995),Drama|Romance,7.5,A young woman learns about love and life while spending the summer with her grandmother and a group of diverse women who are all working on their own unique quilts.
47,Seven (Se7en) (1995),Crime|Thriller,9.5,A detective and his new partner hunt down a serial killer who uses the seven deadly sins as his motives.
48,Pocahontas (1995),Animation|Children's|Musical|Romance,8.5,"A young Native American woman forms a forbidden bond with an English settler, leading to a clash of cultures and a fight for understanding and acceptance."
49,When Night Is Falling (1995),Drama|Romance,8.5,A passionate love affair between a conservative woman and a free-spirited circus performer challenges societal norms and ignites a journey of self-discovery.
50,"Usual Suspects, The (1995)",Crime|Thriller,9.5,"A group of criminals with mysterious pasts are brought together for a heist, but things take a dark turn when they become entangled in a web of deception and betrayal."
51,Guardian Angel (1994),Action|Drama|Thriller,7.5,A troubled cop teams up with a mysterious guardian angel to bring down a dangerous crime syndicate.
52,Mighty Aphrodite (1995),Comedy,8.5,"A man adopts a young boy and becomes obsessed with finding the boy's biological mother, leading him on a comedic and heartfelt journey."
53,Lamerica (1994),Drama,8.5,"A man impersonates a deceased Italian-American businessman to exploit the chaos in Albania after the fall of communism, but his plans take an unexpected turn."
54,"Big Green, The (1995)",Children's|Comedy,7.5,A group of misfit kids transform into a formidable soccer team with the help of their new coach.
55,Georgia (1995),Drama,8.5,A talented musician navigates the highs and lows of her career while struggling with addiction and personal relationships.
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,6.5,A group of kids embark on a magical adventure to save King Arthur and Camelot from an evil sorceress.
57,Home for the Holidays (1995),Drama,7.5,"A dysfunctional family reunites for Thanksgiving, leading to hilarious and heartwarming chaos."
58,"Postino, Il (The Postman) (1994)",Drama|Romance,8.5,"A shy postman befriends the exiled Chilean poet Pablo Neruda, leading to a transformative friendship and a journey of self-discovery."
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,8.5,A mysterious confession booth becomes a catalyst for secrets and redemption in a small Quebec town.
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,8.5,"A young boy discovers a magical cupboard that brings his toys to life, leading to an extraordinary adventure."
61,Eye for an Eye (1996),Drama|Thriller,7.5,"A mother seeks revenge after her daughter is brutally assaulted, taking matters into her own hands to ensure justice is served."
62,Mr. Holland's Opus (1995),Drama,8.5,"A passionate music teacher's journey unfolds as he navigates through personal and professional challenges, leaving a lasting impact on his students."
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,7.5,A hilarious parody of hood movies that follows a young man's misadventures in South Central Los Angeles.
64,Two if by Sea (1996),Comedy|Romance,6.5,"A couple of art thieves try to lay low in a small town, but their plans go awry when their stolen artwork attracts unwanted attention."
65,Bio-Dome (1996),Comedy,2.5,A pair of dim-witted slackers accidentally get trapped inside a futuristic ecological dome and wreak havoc on the scientists and their experiments.
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,3.5,A group of hackers must stop a power-hungry virtual reality tycoon from taking over the world.
67,Two Bits (1995),Drama,7.5,A young boy in 1930s Philadelphia embarks on a journey to find two bits to see the first movie in color.
68,French Twist (Gazon maudit) (1995),Comedy|Romance,8.5,A hilarious and unconventional love triangle unfolds when a woman's affair with a female handywoman threatens her marriage.
69,Friday (1995),Comedy,8.5,"A hilarious day in the life of two friends, Craig and Smokey, as they navigate through a series of misadventures and encounters in their neighborhood on a Friday."
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,8.5,A group of criminals and a family find themselves trapped in a strip club filled with bloodthirsty vampires.
71,Fair Game (1995),Action,7.5,A woman's life takes a dangerous turn when she becomes the target of a corrupt politician after witnessing a murder.
72,Kicking and Screaming (1995),Comedy|Drama,7.5,A group of college graduates struggle to navigate the uncertainties of adulthood and find their place in the world.
73,"Misï¿½rables, Les (1995)",Drama|Musical,8.5,"A gripping tale of love, sacrifice, and redemption set against the backdrop of 19th-century France."
74,Bed of Roses (1996),Drama|Romance,7.5,A lonely woman finds unexpected love and healing when she receives anonymous flowers from a mysterious stranger.
75,Big Bully (1996),Comedy|Drama,6.5,"A former childhood bully returns to his hometown and faces his old nemesis, leading to unexpected twists and turns."
76,Screamers (1995),Sci-Fi|Thriller,6.5,A group of soldiers on a distant planet must battle deadly robotic creatures known as screamers.
77,Nico Icon (1995),Documentary,8.5,"A captivating documentary exploring the life and legacy of the enigmatic singer and fashion icon, Nico."
78,"Crossing Guard, The (1995)",Drama,8.5,A grieving father seeks redemption and revenge after his daughter's tragic death.
79,"Juror, The (1996)",Drama|Thriller,7.5,A woman serving on a jury becomes the target of manipulation and intimidation as she tries to uncover the truth in a high-stakes trial.
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,8.5,A young girl's determination to buy a goldfish balloon becomes an adventure through the bustling streets of Tehran.
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,7.5,"A group of small-time criminals in Denver find themselves caught up in a dangerous game when they are hired to scare a man, leading to unexpected consequences."
82,Antonia's Line (Antonia) (1995),Drama,8.5,A strong-willed woman creates a vibrant community of strong and independent women in a small Dutch village.
83,Once Upon a Time... When We Were Colored (1995),Drama,8.5,"A heartwarming tale of resilience and love, set in the racially divided South during the 1940s."
84,Last Summer in the Hamptons (1995),Comedy|Drama,8.5,"A dysfunctional family gathers at their eccentric mother's Hamptons home for a summer of love, laughter, and unexpected revelations."
85,Angels and Insects (1995),Drama|Romance,8.5,"A Victorian naturalist's life takes an unexpected turn when he becomes entangled in a complex web of love, betrayal, and dark secrets."
86,White Squall (1996),Adventure|Drama,8.5,"A group of young boys embark on a life-changing journey aboard a sailing ship, facing the challenges of nature and their own personal growth."
87,Dunston Checks In (1996),Children's|Comedy,6.5,"A mischievous orangutan wreaks havoc in a luxurious hotel, leading to a series of hilarious and chaotic events."
88,Black Sheep (1996),Comedy,7.5,"A man's life takes a hilarious turn when he becomes the unlikely guardian of his brother, who has a peculiar condition that turns him into a destructive force whenever he gets nervous."
89,Nick of Time (1995),Action|Thriller,6.5,A man is forced to assassinate a politician within 90 minutes to save his daughter's life.
90,"Journey of August King, The (1995)",Drama,6.5,A man helps a runaway slave during the 19th century in the American South.
92,Mary Reilly (1996),Drama|Thriller,6.5,"A maid's loyalty is tested when she becomes entangled in a dangerous relationship with her employer, Dr. Jekyll."
93,Vampire in Brooklyn (1995),Comedy|Romance,5.2,"A seductive vampire seeks a mate in modern-day Brooklyn, leading to a thrilling battle between good and evil."
94,Beautiful Girls (1996),Drama,8.5,"A group of friends reunite in a small town, reflecting on their lives and relationships, ultimately finding beauty in the complexities of adulthood."
95,Broken Arrow (1996),Action|Thriller,7.5,"A renegade Air Force pilot steals nuclear warheads, leading to a high-stakes chase and a battle to prevent a catastrophic disaster."
96,In the Bleak Midwinter (1995),Comedy,7.5,"A group of struggling actors come together to put on a Christmas play in a small village, facing challenges and finding hope along the way."
97,"Hate (Haine, La) (1995)",Drama,8.5,A group of young friends from the Parisian suburbs navigate through a day of violence and racial tension.
98,Shopping (1994),Action|Thriller,8.5,A group of disaffected youth in London engage in a series of increasingly audacious and dangerous acts of theft and vandalism.
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,7.5,A revealing documentary about the infamous Hollywood Madam and her scandalous empire.
100,City Hall (1996),Drama|Thriller,8.5,A gripping political thriller that explores corruption and power struggles within the city government.
101,Bottle Rocket (1996),Comedy,8.5,A group of aspiring criminals embark on a series of misadventures as they attempt to pull off a heist.
