epochs,valid_recall,test_recall,valid_ndcg,test_ndcg
0,0.10380517,0.10452281,0.25971478,0.2611135
5,0.1027131,0.10445413,0.25766706,0.26013792
10,0.102563515,0.10444108,0.25693032,0.25903094
15,0.10305413,0.10380621,0.2566903,0.25788546
20,0.10392218,0.10399651,0.25692394,0.2579685
25,0.10405272,0.104194224,0.25756633,0.25759014
30,0.10417979,0.10443638,0.25745386,0.25797102
35,0.104228824,0.1044333,0.25852743,0.2588394
40,0.10486466,0.10564129,0.2603518,0.26097247
45,0.10681072,0.10664733,0.26400357,0.2641408
50,0.108201124,0.10889442,0.26902947,0.26918644
55,0.11097717,0.11134198,0.2752212,0.27545363
60,0.11556656,0.11610379,0.28356177,0.28449178
65,0.11920242,0.11931199,0.29157317,0.2925465
70,0.12290005,0.12314411,0.30085716,0.30096942
75,0.12621321,0.1264446,0.30757865,0.30761206
80,0.12838684,0.12983683,0.31384447,0.31364486
85,0.13205913,0.13255094,0.31987327,0.31885222
90,0.13439575,0.13581285,0.32496816,0.32480893
95,0.1367294,0.13810223,0.3308647,0.32960427
100,0.1395132,0.14121442,0.33526424,0.33505988
105,0.14173497,0.14315282,0.33879924,0.33850628
110,0.14388146,0.14578882,0.34283367,0.34257686
115,0.14553314,0.14749834,0.34725198,0.34738663
120,0.14719312,0.1490207,0.35062975,0.35134107
125,0.14872742,0.15205972,0.3538522,0.3549974
130,0.15033294,0.15307178,0.35701352,0.35741815
135,0.15209061,0.15534796,0.36056605,0.36167642
140,0.15339111,0.15744467,0.36307195,0.36556697
145,0.1542091,0.15882084,0.36512187,0.36699334
150,0.15568371,0.16062431,0.3670226,0.37044457
155,0.15765809,0.16202882,0.36957335,0.3723275
160,0.1600547,0.1639909,0.37410495,0.3755855
165,0.16187982,0.16496857,0.37666038,0.37801084
170,0.1626604,0.16685483,0.37799826,0.38064286
175,0.1636227,0.16686669,0.38066262,0.38124102
180,0.16538979,0.16840933,0.38298357,0.38390183
185,0.1657113,0.16860484,0.38383034,0.38495457
190,0.16663176,0.16961052,0.38549256,0.38569745
195,0.16708611,0.16925998,0.38629606,0.38590124
200,0.16680765,0.16940773,0.38660905,0.38684735
205,0.16775322,0.169877,0.38735524,0.38728526
210,0.16807625,0.17024337,0.3888392,0.3879915
215,0.16928865,0.17073315,0.3892739,0.38839144
220,0.16962653,0.17165795,0.38935104,0.38949114
225,0.16979441,0.17201123,0.3903639,0.39024597
230,0.17069629,0.17221865,0.39145595,0.3907899
235,0.17059617,0.17279243,0.39228263,0.391433
240,0.17132716,0.17307101,0.39269653,0.39156118
245,0.17155698,0.17295408,0.39297003,0.39198655
250,0.17153545,0.1726951,0.3937076,0.39222962
255,0.17184086,0.17426796,0.3944956,0.39372754
260,0.17237543,0.17320125,0.39538977,0.39346728
265,0.17214742,0.17415956,0.39507234,0.3933105
270,0.1722242,0.17469294,0.39473552,0.39417493
275,0.17245083,0.1743475,0.39572746,0.39433518
280,0.17264602,0.17461136,0.3965235,0.39456788
285,0.17301744,0.17435497,0.39603955,0.3940351
290,0.1728821,0.1746483,0.39623013,0.3944631
295,0.17364596,0.17479447,0.39676052,0.39485064
300,0.1724508,0.1749449,0.39623934,0.39449903
305,0.17293335,0.174847,0.3969587,0.39390284
310,0.17229825,0.17525735,0.39645892,0.3942081
315,0.17312418,0.17464204,0.39729646,0.3943099
320,0.17347111,0.1753139,0.3972972,0.39473274
325,0.1728147,0.17505863,0.39674452,0.39365873
330,0.17340373,0.1755848,0.39674675,0.39420044
335,0.17337205,0.17528005,0.39634502,0.39329755
340,0.1730403,0.17540567,0.39605728,0.39325795
345,0.17309791,0.17565283,0.39627308,0.39365414
350,0.17319162,0.17429782,0.39614308,0.39270937
355,0.17393053,0.17492744,0.39652517,0.39290154
360,0.17257077,0.17421621,0.3954117,0.39200714
365,0.17218623,0.17444846,0.39476988,0.39174196
370,0.17302541,0.17491437,0.39497837,0.39255056
375,0.17262703,0.17456539,0.3942373,0.39216644
380,0.1735378,0.17409654,0.3945978,0.39159772
385,0.17304893,0.1739129,0.39414996,0.3908082
390,0.17296113,0.1728583,0.39370716,0.38961908
395,0.17254823,0.17335801,0.3928086,0.38909957
400,0.17211428,0.17270772,0.39203164,0.38772148
405,0.17227559,0.17265043,0.3915897,0.38771227
410,0.17200534,0.17249763,0.39058945,0.38641086
415,0.17129426,0.17298076,0.3899618,0.38682383
420,0.17178626,0.17278646,0.390295,0.38724828
425,0.17163502,0.17225327,0.38925225,0.38581443
430,0.1719647,0.17152265,0.38945863,0.38549557
435,0.17182983,0.17147101,0.38818523,0.3846143
440,0.17119554,0.17102408,0.3872615,0.3838695
445,0.17104438,0.17068711,0.38708138,0.38335025
