epochs,valid_recall,test_recall,valid_ndcg,test_ndcg
0,0.035560645,0.035985373,0.10190838,0.10264479
5,0.06790543,0.06384369,0.17203517,0.16973369
10,0.08105373,0.077919625,0.20084564,0.19868971
15,0.09332396,0.09167291,0.23146556,0.23209941
20,0.099040814,0.103360385,0.24907967,0.25163072
25,0.09530421,0.09868684,0.23969905,0.24129945
30,0.10125632,0.101124845,0.25475007,0.25451827
35,0.102832854,0.10183346,0.2580192,0.25861564
40,0.101288535,0.10336063,0.25846094,0.2604159
45,0.102431044,0.10377337,0.26132566,0.26240367
50,0.103439234,0.10403057,0.26287955,0.26393774
55,0.10369518,0.10480956,0.26351473,0.2642684
60,0.10608956,0.106645785,0.26826456,0.26901552
65,0.10755684,0.108378306,0.27347815,0.27553082
70,0.11173387,0.11257054,0.2845053,0.28540146
75,0.116302386,0.11810879,0.2931625,0.2948207
80,0.11965661,0.12199234,0.29987094,0.30106556
85,0.12260493,0.12495235,0.30558306,0.306629
90,0.1271598,0.12790583,0.3135224,0.3133252
95,0.1297815,0.13274933,0.31830493,0.3211429
100,0.13579132,0.13672958,0.3236097,0.32400763
105,0.13787049,0.13854067,0.3244684,0.3254319
110,0.13974766,0.1419257,0.32707167,0.32852006
115,0.1412958,0.14458111,0.3315188,0.3318155
120,0.14396591,0.14583349,0.33556673,0.33734497
125,0.14587252,0.14742771,0.3415922,0.34166443
130,0.14937626,0.15017399,0.34569824,0.34506193
135,0.15116002,0.15293866,0.3477289,0.34675735
140,0.1528325,0.15471384,0.34900698,0.3491725
145,0.15480563,0.15455629,0.35180333,0.3504445
150,0.15603021,0.15766749,0.3550209,0.35365438
155,0.15610372,0.15784244,0.3557518,0.35452303
160,0.15664785,0.158957,0.35234168,0.35007522
165,0.15805767,0.16009542,0.35467058,0.35252905
170,0.15873732,0.16031411,0.3553209,0.35389555
175,0.15737471,0.16090952,0.3513468,0.35125983
180,0.15732802,0.16069852,0.34783894,0.34843355
185,0.15747325,0.16065499,0.34926608,0.35092363
190,0.15794222,0.15898457,0.34907162,0.34642652
195,0.15711361,0.15885225,0.3445474,0.3436225
200,0.1553451,0.1591852,0.3424252,0.34296265
205,0.1553049,0.15817167,0.3435841,0.34206775
210,0.15580095,0.15797226,0.34075716,0.33861467
215,0.15555249,0.15755038,0.338824,0.33673805
220,0.15494509,0.15696305,0.33687583,0.3343857
225,0.15534317,0.15730983,0.33638057,0.33359635
